temperature,precipitation,primaryForest,primaryNonF,secondaryForest,secondaryNonF,croplands,pastures,population
alpinus,34.12,4.75,20.89,0.05,4.47,0.04,4.28,27.26,4.15
argillaceus,13.98,7.06,8.13,17.07,22.14,7.8,6.71,11.69,5.43
balteatus,8.98,5.48,56.93,0,1.51,0,7.07,11.23,8.82
barbutellus,17.44,14.25,3.91,0.34,1.4,0.19,2.1,45.21,15.15
bohemicus,32.05,33.51,4.42,0.02,0.15,0.43,3.49,10.75,15.18
campestris,15.68,24.68,5.79,1.88,0.53,0.51,3.05,22.25,25.63
cingulatus,61.45,5.88,5.01,0.02,4.58,0.06,6.33,11.09,5.58
confusus,25.22,2.62,1.3,0.41,2.69,28.26,13.63,19.4,6.46
consobrinus,13,10.78,60.44,0,5.24,0,7.53,2.01,1
cryptarum,32.4,15.81,1.13,1.37,12.34,1.61,1.06,15.37,18.91
distinguendus,37.92,3.17,1.29,4.14,2.61,1.87,18.2,16.65,14.16
flavidus,25.45,6.99,10.61,0.01,4.55,0.98,21.23,24.05,6.12
gerstaeckeri,28.93,19.24,29.76,1.95,1.87,0.31,7.77,7.67,2.5
hortorum,39.87,13.02,3.12,8.17,1.15,2.44,14.04,1.33,16.86
humilis,34.43,3.45,0.19,0.18,1.42,0.32,2.66,5.79,51.55
hypnorum,47.82,1.05,10.93,2.42,0.89,2.89,8.15,15.87,9.99
jonellus,23.4,11.16,46.38,0.58,0.66,1.09,3.56,5.07,8.09
lapidarius,24.58,3.22,2.88,7.17,0.22,1.06,1.52,2.28,57.07
lapponicus,6.74,3.3,80.09,0,1.7,0,2.6,3.68,1.89
lucorum,48.33,6.34,3.78,10.72,5.06,7.29,12.66,3.14,2.68
magnus,12.8,56.81,0.24,0.21,0.33,0.64,4.06,8.04,16.86
mendax,36.63,19.71,20.08,0.39,5.28,0.06,2.17,11.48,4.2
mesomelas,37.59,10.44,0.77,5.12,18.87,0.69,1.62,22.05,2.87
monticola,27.09,19.53,15.72,0,1.75,0.02,1.16,28.79,5.94
mucidus,27.51,24.04,12.51,1.4,5.65,0.63,3.69,21.99,2.58
muscorum,59.57,2.88,0.41,6.57,10.05,2.93,9.89,1.33,6.37
norvegicus,27.7,23.91,2.75,0.09,1.36,5.41,11.45,3.55,23.78
pascuorum,12.19,39.96,6.01,7.97,1.23,7.46,11.98,0.72,12.48
polaris,57.91,6.75,7.21,0,2.06,0,10.45,3.65,11.97
pomorum,29.57,1.49,1.16,1.25,3.47,32.41,7.69,18.47,4.49
pratorum,47.74,13.74,5.77,12.14,0.98,1.98,7.31,3.57,6.76
pyrenaeus,27.38,23.33,19.02,1.49,0.92,4.72,1.9,12.7,8.52
quadricolor,30.71,28.71,7.92,1.57,3.38,6.93,6.35,10.77,3.65
ruderarius,34.53,0.92,0.31,10.96,0.3,1.64,5,4.67,41.67
ruderatus,48.77,4.28,10.75,12.03,2.75,1.32,3.28,6.33,10.51
rupestris,23.18,12.33,6.51,5.37,1.24,3.25,0.97,25.81,21.33
sichelii,29.21,21.38,19.28,3.06,5.9,2.96,2.09,15.75,0.36
soroeensis,43.25,11.19,0.88,0.74,6.55,2.11,16.23,10.94,8.09
sporadicus,65.6,6.71,4.45,0.21,1.24,0.48,1.78,17.19,2.33
subterraneus,52.26,1.09,2.65,3.97,1,17.92,3.17,13.89,4.05
sylvarum,26.58,6.86,0.86,2.65,0.18,0.47,23.2,7.45,31.75
sylvestris,26.91,50.07,1.94,1.04,0.41,0.02,2.49,3.38,13.74
terrestris,17.16,1.47,5.36,8.69,1.01,3.53,1.85,32.37,28.56
vestalis,23.81,2.75,0.93,1.22,0.11,1.63,2.64,6.83,60.08
veteranus,37.55,7.17,2.53,11.43,0.03,4.06,23.35,2.42,11.46
wurflenii,26.62,36.9,9.67,0.14,12.99,3.17,1.43,8.22,0.85
