CCV_AUC,SCV1_AUC,SCV2_AUC
0.928,0.80148,0.8521
0.9277,0.7244,0.877366666666667
0.93672,0.78898,0.8935
0.93186,0.80494,0.897266666666667
0.95448,0.78418,0.868266666666667
0.95264,0.83782,0.8975
0.933,0.8063,0.88444
0.9507,0.79782,0.91275
0.94516,0.81206,0.85866
0.9472,0.78386,0.895766666666667
