CCV_AUC,SCV1_AUC,SCV2_AUC
0.94178,0.84432,0.89636
0.93774,0.8362,0.85068
0.94046,0.70104,0.85996
0.93658,0.80612,0.91454
0.94468,0.82714,0.83338
0.94396,0.80456,0.89478
0.93874,0.81118,0.89638
0.94028,0.73028,0.9031
0.93196,0.7425,0.90578
0.94458,0.7426,0.90444
