CCV_AUC,SCV1_AUC,SCV2_AUC
0.77338,0.57614,0.68522
0.76852,0.5715,0.64842
0.7647,0.59746,0.6623
0.7677,0.5801,0.65648
0.76128,0.62026,0.69194
0.76902,0.643,0.67514
0.76112,0.56632,0.6525
0.76174,0.52052,0.65628
0.7597,0.60334,0.67378
0.75902,0.53824,0.64148
