CCV_AUC,SCV1_AUC,SCV2_AUC
0.96564,0.79678,0.95172
0.96586,0.86258,0.95588
0.9668,0.8397,0.94786
0.9701,0.84224,0.95426
0.96716,0.82944,0.94416
0.96302,0.86704,0.95262
0.96558,0.88628,0.94866
0.96834,0.80934,0.95644
0.97256,0.87952,0.95278
0.9668,0.844,0.95524
