CCV_AUC,SCV1_AUC,SCV2_AUC
0.89188,0.62322,0.83362
0.9046,0.66052,0.8241
0.88996,0.66974,0.82508
0.8972,0.6111,0.8341
0.89604,0.60816,0.8538
0.89774,0.5846,0.83458
0.8924,0.62454,0.82054
0.90088,0.56928,0.82788
0.90216,0.64758,0.86362
0.88954,0.74834,0.83284
