CCV_AUC,SCV1_AUC,SCV2_AUC
0.8339,0.5001,0.77374
0.8332,0.6038,0.78248
0.83446,0.53112,0.7769
0.82956,0.6918,0.74458
0.82338,0.6658,0.77412
0.82268,0.66466,0.78544
0.82974,0.51502,0.77634
0.8242,0.48572,0.76942
0.82942,0.59574,0.77772
0.82964,0.5881,0.7526
