CCV_AUC,SCV1_AUC,SCV2_AUC
0.90396,0.79742,0.8761
0.90534,0.82172,0.86572
0.9015,0.8343,0.84672
0.90854,0.80284,0.86076
0.90612,0.7968,0.84868
0.89774,0.83662,0.86892
0.90152,0.83008,0.84486
0.90984,0.78304,0.8665
0.90622,0.83478,0.8659
0.89982,0.7899,0.86578
