temperature,precipitation,primaryForest,primaryNonF,secondaryForest,secondaryNonF,croplands,pastures,population
alpinus,53.91,8.14,12.79,0,9.64,0,6.33,4.65,4.54
argillaceus,17.23,2.7,1.75,16.08,25.19,0.29,12.06,15.34,9.36
balteatus,54.91,3.68,16.5,0,2.29,0,5.37,14.65,2.6
barbutellus,15.79,2.61,2.92,3.68,0.45,6.87,10.45,40.41,16.82
bohemicus,63.27,0.45,0.59,0.2,0.11,5.32,8.65,17.34,4.08
campestris,59.61,0.72,0.27,0.06,0.23,3.1,6.63,9.83,19.54
cingulatus,50.03,11.48,2.24,0.01,6.51,0,12.76,13.01,3.95
confusus,41.16,3.24,0,24.73,0,10.38,1.88,6.05,12.55
consobrinus,33.21,17.53,17.87,0,4.64,0,8.61,9.71,8.43
cryptarum,44.73,3.55,28.09,0.59,4.93,0.65,3.63,11.59,2.25
distinguendus,35.33,11.64,16.93,5.11,1.3,2.09,14.35,9.5,3.75
flavidus,56.97,17.87,1.11,0.01,3.33,0.3,2.96,13.94,3.51
gerstaeckeri,19.16,25.83,17.93,1.19,8.48,0.8,4,10.74,11.89
hortorum,60.42,0.84,2.06,0.17,0.44,1.99,5.02,18.11,10.95
humilis,14.75,2.35,1.25,1.15,3.66,1.23,9.21,23.68,42.73
hypnorum,50.2,0.3,0.15,0.82,1.15,0.22,0.79,18.44,27.93
jonellus,27.97,2.87,12.96,0.67,2.35,1.33,18.32,28.4,5.14
lapidarius,30.18,4.91,1.45,2.81,0.27,0.22,4.12,2.61,53.43
lapponicus,77.96,4.16,6.67,0,2.66,0,3.06,3.15,2.34
lucorum,43.66,3.85,5.85,5.74,2.16,0.42,4.29,18.13,15.89
magnus,8.75,25.03,1.16,0.45,12.52,0.31,3.9,33.09,14.79
mendax,12.54,16.2,2.98,1.64,11.97,0.68,7.02,45.37,1.6
mesomelas,6.18,19.42,1.32,7.23,16.27,0.86,10.97,33.93,3.81
monticola,27.04,16.22,3.7,0.02,9.17,4,9.89,27.58,2.38
mucidus,15.41,22.64,1.13,4.5,12.31,2.54,9.97,25.02,6.48
muscorum,35.15,5.16,3.02,1.17,5.52,3.43,1.19,33.84,11.52
norvegicus,55.09,1.9,3.68,0.19,1.11,2.64,4.06,23.21,8.11
pascuorum,36.55,14.31,5.93,9.35,0.33,0.12,13.32,8.78,11.31
polaris,65.02,7.55,4.3,0,1.63,0,7.53,6.89,7.07
pomorum,18.25,4.46,3.62,9.96,4.92,7.81,9.15,25.51,16.32
pratorum,46.46,4.96,2.1,7.52,0.09,6.11,8.77,13.11,10.89
pyrenaeus,29.66,14.14,1.55,2.37,4.91,0.68,4.54,31.18,10.97
quadricolor,29.03,6.33,6.63,0.77,1.34,0.79,1.27,51.07,2.77
ruderarius,31.17,4.3,1.93,1.12,0.21,3.6,3.33,8.27,46.07
ruderatus,39.39,6.11,0.21,4.46,1.36,4.84,3.55,28.24,11.82
rupestris,29.97,3.65,1.93,0.39,0.2,3.73,4.15,12.8,43.19
sichelii,8.14,17.95,1.16,8.71,13.78,0.27,4.99,40.71,4.28
soroeensis,81.43,3.28,0.43,0.69,3.45,0.36,2.32,5.67,2.37
sporadicus,45.98,4.61,2.16,0.05,14.43,0.04,2.74,21.74,8.25
subterraneus,41.76,15.47,0.62,15.26,0.98,6.68,0.68,7.84,10.7
sylvarum,24.66,6.06,0.52,0.49,1.3,1.48,0.9,23.29,41.31
sylvestris,46.34,25.2,0.43,1.01,0.02,0.28,4.97,9.94,11.8
terrestris,27.44,0.59,1.5,2.04,1.59,1.21,1.11,28.94,35.58
vestalis,31.6,1.59,0.23,0.57,4.58,3.11,2.36,20.99,34.96
veteranus,21.02,5.72,1.12,7.32,0.75,10.55,13.73,33.36,6.44
wurflenii,21.61,24.89,7.18,4.26,19.8,1.28,0.63,17.04,3.3
