CCV_AUC,SCV1_AUC,SCV2_AUC
0.83838,0.71166,0.8103
0.83898,0.73892,0.78176
0.84684,0.72752,0.8003
0.83914,0.74476,0.79464
0.84954,0.74424,0.80244
0.84362,0.75962,0.82224
0.85008,0.7613,0.7684
0.83456,0.75606,0.80424
0.84312,0.67006,0.79696
0.85402,0.72948,0.82392
