CCV_AUC,SCV1_AUC,SCV2_AUC
0.80212,0.66938,0.75666
0.80356,0.67158,0.7636
0.79866,0.6641,0.76208
0.80802,0.64892,0.75598
0.80288,0.63744,0.73242
0.80864,0.63388,0.76244
0.80382,0.588,0.76384
0.80632,0.62076,0.75368
0.80258,0.54988,0.75544
0.80394,0.61692,0.76586
