CCV_AUC,SCV1_AUC,SCV2_AUC
0.93992,0.84154,0.93366
0.93486,0.79136,0.93852
0.93632,0.76796,0.93672
0.94128,0.806,0.93462
0.94062,0.80464,0.94102
0.94102,0.7353,0.93182
0.94146,0.8031,0.93102
0.9406,0.80042,0.93518
0.93714,0.82428,0.93666
0.9388,0.82058,0.934
