CCV_AUC,SCV1_AUC,SCV2_AUC
0.76952,0.5134,0.71234
0.77198,0.5461,0.70934
0.78014,0.48442,0.69326
0.77018,0.6512,0.7289
0.7693,0.70518,0.7028
0.77488,0.64712,0.71526
0.77024,0.4422,0.72418
0.771,0.57266,0.7086
0.76776,0.68292,0.73456
0.7757,0.61484,0.70452
